frequency1,frequency2,frequency3,aux1,aux2,aux3,dual1,dual2,dual3,max_freq,capacity,request1,anomaly
2.021184415,2.723172665,1.557857331,2.021122653,2.723080022,1.557702926,1.702519153,2.553778729,4.256297882,10,20,2,0
2.021180624,2.72313055,1.557849919,2.021127861,2.723051406,1.557718012,1.702571916,2.553857874,4.25642979,10,20,2,0
2.021177385,2.723094571,1.557843588,2.02113231,2.723026959,1.557730901,1.702616991,2.553925487,4.256542478,10,20,2,0
2.021174618,2.723063835,1.55783818,2.021136111,2.723006073,1.557741912,1.702655498,2.553983248,4.256638746,10,20,2,0
2.021172254,2.723037576,1.55783356,2.021139357,2.722988231,1.557751319,1.702688395,2.554032593,4.256720988,10,20,2,0
2.021170234,2.723015143,1.557829614,2.02114213,2.722972988,1.557759355,1.702716499,2.554074748,4.256791246,10,20,2,0
2.021168508,2.722995979,1.557826242,2.021144499,2.722959966,1.557766221,1.702740507,2.554110761,4.256851268,10,20,2,0
2.021167033,2.722979606,1.557823362,2.021146523,2.722948841,1.557772086,1.702761018,2.554141526,4.256902544,10,20,2,0
2.021165774,2.72296562,1.557820902,2.021148252,2.722939337,1.557777097,1.702778539,2.554167809,4.256946349,10,20,2,0
2.021164698,2.722953671,1.5578188,2.021149729,2.722931217,1.557781378,1.702793508,2.554190263,4.256983771,10,20,2,0
2.021163778,2.722943463,1.557817005,2.021150991,2.722924281,1.557785035,1.702806296,2.554209444,4.25701574,10,20,2,0
2.021162993,2.722934742,1.557815471,2.021152068,2.722918356,1.557788159,1.702817221,2.554225831,4.257043052,10,20,2,0
2.021162322,2.722927292,1.55781416,2.021152989,2.722913293,1.557790828,1.702826554,2.55423983,4.257066384,10,20,2,0
2.021161749,2.722920928,1.557813041,2.021153776,2.722908969,1.557793108,1.702834526,2.55425179,4.257086316,10,20,2,0
2.021161259,2.722915491,1.557812085,2.021154448,2.722905274,1.557795057,1.702841338,2.554262007,4.257103344,10,20,2,0
2.021160841,2.722910846,1.557811268,2.021155022,2.722902118,1.557796721,1.702847156,2.554270735,4.257117891,10,20,2,0
2.021160483,2.722906878,1.55781057,2.021155512,2.722899421,1.557798142,1.702852127,2.554278191,4.257130319,10,20,2,0
2.021160178,2.722903488,1.557809974,2.021155931,2.722897118,1.557799357,1.702856374,2.554284561,4.257140935,10,20,2,0
2.021159917,2.722900592,1.557809464,2.021156289,2.72289515,1.557800394,1.702860002,2.554290003,4.257150005,10,20,2,0
2.021159694,2.722898118,1.557809029,2.021156595,2.722893469,1.557801281,1.702863101,2.554294652,4.257157753,10,20,2,0
2.021159503,2.722896004,1.557808657,2.021156856,2.722892033,1.557802038,1.702865749,2.554298623,4.257164372,10,20,2,0
2.021159341,2.722894199,1.55780834,2.021157079,2.722890806,1.557802685,1.702868011,2.554302016,4.257170027,10,20,2,0
2.021159202,2.722892656,1.557808068,2.02115727,2.722889758,1.557803238,1.702869943,2.554304915,4.257174858,10,20,2,0
2.021159083,2.722891338,1.557807837,2.021157433,2.722888862,1.55780371,1.702871594,2.554307391,4.257178985,10,20,2,0
2.021158982,2.722890213,1.557807639,2.021157571,2.722888097,1.557804113,1.702873004,2.554309506,4.257182511,10,20,2,0
2.021158895,2.722889251,1.55780747,2.02115769,2.722887444,1.557804458,1.702874209,2.554311314,4.257185523,10,20,2,0
2.021158821,2.722888429,1.557807325,2.021157792,2.722886885,1.557804752,1.702875238,2.554312857,4.257188096,10,20,2,0
2.021158758,2.722887727,1.557807202,2.021157879,2.722886408,1.557805003,1.702876118,2.554314176,4.257190294,10,20,2,0
2.021158704,2.722887128,1.557807096,2.021157953,2.722886001,1.557805218,1.702876869,2.554315303,4.257192172,10,20,2,0
2.021158658,2.722886616,1.557807006,2.021158016,2.722885653,1.557805402,1.70287751,2.554316266,4.257193776,10,20,2,0
2.021158618,2.722886178,1.557806929,2.02115807,2.722885356,1.557805559,1.702878059,2.554317088,4.257195146,10,20,2,0
2.021158585,2.722885804,1.557806863,2.021158116,2.722885102,1.557805692,1.702878527,2.55431779,4.257196317,10,20,2,0
2.021158556,2.722885485,1.557806807,2.021158156,2.722884885,1.557805807,1.702878927,2.554318391,4.257197318,10,20,2,0
2.021158531,2.722885212,1.557806759,2.02115819,2.722884699,1.557805905,1.702879269,2.554318903,4.257198172,10,20,2,0
2.02115851,2.722884979,1.557806718,2.021158218,2.722884541,1.557805988,1.702879561,2.554319341,4.257198902,10,20,2,0
2.021158492,2.72288478,1.557806683,2.021158243,2.722884405,1.55780606,1.70287981,2.554319715,4.257199526,10,20,2,0
2.021158477,2.722884609,1.557806653,2.021158264,2.72288429,1.557806121,1.702880023,2.554320035,4.257200058,10,20,2,0
2.021158464,2.722884464,1.557806628,2.021158282,2.722884191,1.557806173,1.702880205,2.554320308,4.257200513,10,20,2,0
2.021158453,2.72288434,1.557806606,2.021158297,2.722884107,1.557806217,1.702880361,2.554320541,4.257200902,10,20,2,0
2.021158443,2.722884234,1.557806587,2.02115831,2.722884035,1.557806255,1.702880494,2.554320741,4.257201234,10,20,2,0
2.021158435,2.722884143,1.557806571,2.021158322,2.722883973,1.557806288,1.702880607,2.554320911,4.257201518,10,20,2,0
2.021158428,2.722884066,1.557806558,2.021158331,2.72288392,1.557806315,1.702880704,2.554321056,4.257201761,10,20,2,0
2.021158422,2.722884,1.557806546,2.021158339,2.722883876,1.557806339,1.702880787,2.554321181,4.257201968,10,20,2,0
2.021158417,2.722883943,1.557806536,2.021158346,2.722883837,1.557806359,1.702880858,2.554321287,4.257202145,10,20,2,0
2.021158413,2.722883895,1.557806528,2.021158352,2.722883804,1.557806377,1.702880918,2.554321377,4.257202296,10,20,2,0
2.021158409,2.722883854,1.55780652,2.021158357,2.722883776,1.557806391,1.70288097,2.554321455,4.257202425,10,20,2,0
2.021158406,2.722883819,1.557806514,2.021158362,2.722883752,1.557806404,1.702881014,2.554321521,4.257202535,10,20,2,0
2.021158403,2.722883789,1.557806509,2.021158365,2.722883732,1.557806415,1.702881052,2.554321578,4.257202629,10,20,2,0
2.021158401,2.722883763,1.557806505,2.021158368,2.722883714,1.557806424,1.702881084,2.554321626,4.25720271,10,20,2,0
2.021158399,2.722883741,1.557806501,2.021158371,2.7228837,1.557806432,1.702881111,2.554321667,4.257202779,10,20,2,0
2.021158397,2.722883722,1.557806497,2.021158373,2.722883687,1.557806439,1.702881135,2.554321702,4.257202837,10,20,2,0
2.021158395,2.722883706,1.557806495,2.021158375,2.722883676,1.557806444,1.702881155,2.554321733,4.257202888,10,20,2,0
2.021158394,2.722883692,1.557806492,2.021158377,2.722883667,1.557806449,1.702881172,2.554321758,4.25720293,10,20,2,0
2.021158393,2.722883681,1.55780649,2.021158379,2.722883659,1.557806453,1.702881187,2.55432178,4.257202967,10,20,2,0
2.021158392,2.722883671,1.557806488,2.02115838,2.722883652,1.557806457,1.702881199,2.554321799,4.257202998,10,20,2,0
2.021158392,2.722883662,1.557806487,2.021158381,2.722883646,1.55780646,1.70288121,2.554321815,4.257203025,10,20,2,0
2.021158391,2.722883655,1.557806485,2.021158382,2.722883641,1.557806462,1.702881219,2.554321829,4.257203048,10,20,2,0
2.021158391,2.722883649,1.557806484,2.021158383,2.722883637,1.557806465,1.702881227,2.554321841,4.257203068,10,20,2,0
2.02115839,2.722883643,1.557806483,2.021158383,2.722883633,1.557806467,1.702881234,2.554321851,4.257203084,10,20,2,0
2.02115839,2.722883639,1.557806483,2.021158384,2.72288363,1.557806468,1.702881239,2.554321859,4.257203098,10,20,2,0
2.021158389,2.722883635,1.557806482,2.021158385,2.722883628,1.55780647,1.702881244,2.554321866,4.257203111,10,20,2,0
2.021158389,2.722883632,1.557806481,2.021158385,2.722883625,1.557806471,1.702881248,2.554321873,4.257203121,10,20,2,0
2.021158389,2.722883629,1.557806481,2.021158385,2.722883623,1.557806472,1.702881252,2.554321878,4.25720313,10,20,2,0
2.021158389,2.722883626,1.55780648,2.021158385,2.722883622,1.557806473,1.702881255,2.554321882,4.257203137,10,20,2,0
2.021158388,2.722883624,1.55780648,2.178371479,2.95870326,1.950839206,1.545668164,2.318502247,3.864170411,9.151332743,22.98704877,2,0
2.041856622,2.880076052,1.600386138,2.160865921,3.05859,1.897909385,1.426658865,2.139988298,3.566647163,9.151332743,22.98704877,2,0
2.048499266,2.97287105,1.61355745,2.148691362,3.123159195,1.864037692,1.326466769,1.989700153,3.316166922,9.151332743,22.98704877,2,0
2.054259639,3.04448884,1.625107339,2.139497864,3.172346178,1.838202901,1.241228543,1.861842815,3.103071359,9.151332743,22.98704877,2,0
2.05922006,3.103502488,1.635107265,2.131986632,3.212652345,1.817023694,1.168461972,1.752692958,2.92115493,9.151332743,22.98704877,2,0
2.063466012,3.153320548,1.643632078,2.12567626,3.24663592,1.799157698,1.106251724,1.659377586,2.76562931,9.151332743,22.98704877,2,0
2.067097772,3.195753054,1.650915765,2.1203091,3.275570046,1.783944086,1.053040395,1.579560593,2.632600989,9.151332743,22.98704877,2,0
2.070202416,3.232003036,1.657138886,2.115725595,3.300287804,1.770946833,1.007517217,1.511275825,2.518793042,9.151332743,22.98704877,2,0
2.072856123,3.263003554,1.662455379,2.111806069,3.321428472,1.759830243,0.968567271,1.452850906,2.421418177,9.151332743,22.98704877,2,0
2.07512459,3.289525147,1.666998115,2.108452673,3.339517272,1.750318322,0.935239188,1.402858782,2.33809797,9.151332743,22.98704877,2,0
2.077063996,3.312218566,1.670880635,2.105583044,3.354997138,1.742178254,0.906720141,1.360080211,2.266800351,9.151332743,22.98704877,2,0
2.078722285,3.331637862,1.674199697,2.103127134,3.368245136,1.735211819,0.882315292,1.323472937,2.205788229,9.151332743,22.98704877,2,0
2.080140355,3.348256134,1.67703772,2.101025147,3.379583323,1.729249701,0.861430499,1.292145749,2.153576248,9.151332743,22.98704877,2,0
2.081353102,3.3624778,1.679464936,2.09922597,3.389287101,1.724147105,0.843557632,1.265336447,2.108894079,9.151332743,22.98704877,2,0
2.082390308,3.374648719,1.681541212,2.097685884,3.397592083,1.719780151,0.828262056,1.242393084,2.07065514,9.151332743,22.98704877,2,0
2.083277397,3.385064743,1.683317604,2.096367488,3.404699879,1.716042831,0.815171965,1.222757948,2.037929913,9.151332743,22.98704877,2,0
2.084035987,3.39397898,1.6848374,2.095238769,3.410783153,1.712844355,0.803969183,1.205953775,2.009922958,9.151332743,22.98704877,2,0
2.084684696,3.401608066,1.686137954,2.094272349,3.415989546,1.710107087,0.79438153,1.191572295,1.985953825,9.151332743,22.98704877,2,0
2.085239434,3.408137302,1.687251179,2.093444807,3.420445363,1.707764614,0.786176157,1.179264235,1.965440391,9.151332743,22.98704877,2,0
2.085713747,3.413725212,1.688204182,2.092736101,3.424258743,1.705760068,0.779153802,1.168730704,1.947884506,9.151332743,22.98704877,2,0
2.086119224,3.418507471,1.689020118,2.092129083,3.42752226,1.704044765,0.773143944,1.159715915,1.932859859,9.151332743,22.98704877,2,0
2.086465779,3.4226002,1.689718775,2.091609081,3.430315153,1.70257703,0.768000642,1.152000962,1.920001604,9.151332743,22.98704877,2,0
2.086761902,3.426102778,1.690317068,2.091163549,3.432705249,1.701321185,0.763598995,1.145398492,1.908997487,9.151332743,22.98704877,2,0
2.087014864,3.429100268,1.690829452,2.090781758,3.434750608,1.700246686,0.759832101,1.139748152,1.899580253,9.151332743,22.98704877,2,0
2.087230897,3.431665471,1.691268294,2.090454533,3.436500926,1.699327385,0.756608465,1.134912697,1.891521162,9.151332743,22.98704877,2,0
2.087415342,3.433860702,1.691644165,2.090174034,3.43799874,1.698540896,0.753849772,1.130774658,1.884624431,9.151332743,22.98704877,2,0
2.087572779,3.435739295,1.691966113,2.089933555,3.439280461,1.697868055,0.751488995,1.127233493,1.878722489,9.151332743,22.98704877,2,0
2.087707125,3.437346904,1.692241792,2.08972738,3.440377287,1.69729243,0.74946874,1.12420311,1.873671851,9.151332743,22.98704877,2,0
2.087821757,3.438722624,1.692477874,2.0895506,3.441315888,1.696799981,0.747739898,1.121609846,1.869349744,9.151332743,22.98704877,2,0
2.087911546,3.439901416,1.692581887,2.08941744,3.442160258,1.696346623,0.746234003,1.119351005,1.865585008,9.151332743,22.98704877,2,0
2.088006034,3.44093433,1.692849863,2.089268371,3.442827835,1.696005705,0.744971666,1.1174575,1.862429166,9.151332743,22.98704877,2,0
2.088076472,3.44178813,1.692984657,2.089161112,3.443415089,1.695696256,0.743887027,1.11583054,1.859717567,9.151332743,22.98704877,2,0
2.088138253,3.44252631,1.69309891,2.089069768,3.443923582,1.695427697,0.742955512,1.114433268,1.857388781,9.151332743,22.98704877,2,0
2.088191342,3.443161667,1.693196719,2.08899121,3.444361469,1.695196389,0.742155644,1.113233466,1.855389111,9.151332743,22.98704877,2,0
2.088236915,3.443707656,1.693280555,2.088923715,3.444737856,1.694997555,0.741468844,1.112203267,1.853672111,9.151332743,22.98704877,2,0
2.088276046,3.444176603,1.693352445,2.088865764,3.44506118,1.69482674,0.740879126,1.111318689,1.852197815,9.151332743,22.98704877,2,0
2.08830965,3.444579313,1.693413997,2.088816047,3.445338909,1.69467999,0.740372729,1.110559093,1.850931822,9.151332743,22.98704877,2,0
2.08833852,3.444925156,1.693466802,2.088773375,3.445577439,1.694553941,0.739937874,1.10990681,1.849844684,9.151332743,22.98704877,2,0
2.088363322,3.445222153,1.693512128,2.088736744,3.445782287,1.694445684,0.739564451,1.109346677,1.848911128,9.151332743,22.98704877,2,0
2.088384631,3.4454772,1.693551036,2.0887053,3.445958204,1.694352711,0.739243781,1.108865672,1.848109453,9.151332743,22.98704877,2,0
2.088402938,3.445696219,1.693584438,2.088678309,3.446109275,1.694272865,0.73896841,1.108452616,1.847421026,9.151332743,22.98704877,2,0
2.088418666,3.445884301,1.693613114,2.088655138,3.446239009,1.694204293,0.738731939,1.108097908,1.846829847,9.151332743,22.98704877,2,0
2.088432179,3.446045816,1.693637732,2.088635248,3.446350419,1.694145404,0.73852887,1.107793305,1.846322175,9.151332743,22.98704877,2,0
2.088443788,3.446184517,1.693658869,2.088618172,3.446446093,1.694094829,0.738354486,1.107531729,1.845886215,9.151332743,22.98704877,2,0
2.088453761,3.446303626,1.693677017,2.088603513,3.446528253,1.694051397,0.738204734,1.107307101,1.845511836,9.151332743,22.98704877,2,0
2.088462329,3.446405911,1.693692599,2.088590928,3.446598809,1.694014097,0.738076135,1.107114203,1.845190338,9.151332743,22.98704877,2,0
2.088472057,3.446491591,1.693802794,2.088557105,3.446619163,1.694015414,0.737991087,1.106986631,1.844977718,9.151332743,22.98704877,2,0
2.088475255,3.446540914,1.693812849,2.088549533,3.44665233,1.693998543,0.73791681,1.106875215,1.844792024,9.151332743,22.98704877,2,0
2.088479359,3.446589135,1.693819716,2.088543784,3.446685772,1.693980777,0.737852385,1.106778578,1.844630963,9.151332743,22.98704877,2,0
2.088482968,3.446632519,1.693825469,2.088538648,3.44671604,1.693964671,0.737796705,1.106695057,1.844491761,9.151332743,22.98704877,2,0
2.088486077,3.446670469,1.69383041,2.088534138,3.44674256,1.693950563,0.737748644,1.106622965,1.844371609,9.151332743,22.98704877,2,0
2.088488757,3.446703357,1.693834669,2.088530222,3.446765555,1.693938332,0.737707178,1.106560767,1.844267946,9.151332743,22.98704877,2,0
2.088491068,3.44673177,1.693838343,2.088526837,3.446785423,1.693927765,0.737671409,1.106507114,1.844178523,9.151332743,22.98704877,2,0
2.088493062,3.44675629,1.693841513,2.088523915,3.44680257,1.693918646,0.737640556,1.106460834,1.84410139,9.151332743,22.98704877,2,0
2.088494781,3.446777444,1.693844248,1.931308301,3.210997723,1.300878046,0.894827037,1.342240555,2.237067592,10,20,2,0
2.068203551,3.289585184,1.652512674,1.94884955,3.110554182,1.354127671,1.014181038,1.521271557,2.535452595,10,20,2,0
2.061587408,3.196428059,1.639532757,1.96105463,3.045628893,1.388200812,1.114713816,1.672070724,2.78678454,10,20,2,0
2.055831733,3.124520936,1.627968877,1.970301698,2.996225884,1.41414379,1.200243851,1.800365776,3.000609626,10,20,2,0
2.050848024,3.065289744,1.617933299,1.977835825,2.955771446,1.435402802,1.273256049,1.909884074,3.183140123,10,20,2,0
2.046557375,3.015299128,1.609307866,1.98415993,2.92170296,1.453314252,1.335653495,2.003480242,3.339133737,10,20,2,0
2.042881043,2.972744764,1.601861163,1.989549348,2.892747223,1.468531927,1.388985189,2.083477784,3.472462973,10,20,2,0
2.039744542,2.936431562,1.595512725,1.994147311,2.868035715,1.481519647,1.434582421,2.151873631,3.586456052,10,20,2,0
2.037051366,2.905397441,1.590058589,1.99807305,2.846929968,1.492612799,1.473560736,2.210341105,3.683901841,10,20,2,0
2.034746435,2.878874153,1.585397427,2.001425252,2.82889238,1.502094471,1.506881919,2.260322878,3.767204797,10,20,2,0
2.032773367,2.856200226,1.581421649,2.004286227,2.813469516,1.5102038,1.535369059,2.303053588,3.838422647,10,20,2,0
2.031083553,2.836813876,1.578009346,2.006733265,2.800288445,1.517133627,1.559719346,2.339579019,3.899298366,10,20,2,0
2.029640144,2.820245792,1.575084739,2.008827441,2.789026737,1.523052981,1.580532049,2.370798074,3.951330124,10,20,2,0
2.028424825,2.806103766,1.572685422,2.010604401,2.77937313,1.528134361,1.598352474,2.39752871,3.995881184,10,20,2,0
2.027417664,2.793947407,1.570393781,2.012225746,2.771159529,1.532413984,1.613544392,2.420316589,4.033860981,10,20,2,0
2.026459297,2.783594887,1.568582905,2.013479414,2.764125062,1.536133197,1.626524275,2.439786413,4.066310688,10,20,2,0
2.02567783,2.774767521,1.567027361,2.014583355,2.758125808,1.539291173,1.63761875,2.456428126,4.094046876,10,20,2,0
2.025034895,2.767203018,1.565689836,2.015554473,2.752982385,1.54198878,1.647099173,2.470648759,4.117747932,10,20,2,0
2.024480306,2.760770345,1.564525693,2.0163803,2.748620336,1.544275678,1.655199178,2.482798768,4.137997946,10,20,2,0
2.023994201,2.755278473,1.563550137,2.017069227,2.744891012,1.546237702,1.662124152,2.493186228,4.155310381,10,20,2,0
2.023587558,2.750584142,1.562716611,2.017665947,2.741701727,1.547912585,1.668045763,2.502068644,4.170114407,10,20,2,0
2.023242465,2.746568388,1.562003615,2.018178878,2.738973006,1.549344645,1.67310935,2.509664026,4.182773376,10,20,2,0
2.022945507,2.743132318,1.561393516,2.018616268,2.736638459,1.550570418,1.67743859,2.516157885,4.193596474,10,20,2,0
2.022690204,2.740193016,1.560871495,2.018989313,2.734641679,1.551619267,1.681139481,2.521709221,4.202848702,10,20,2,0
2.022470986,2.737679252,1.560424999,2.01930758,2.732934142,1.552516483,1.684302887,2.526454331,4.210757218,10,20,2,0
2.022282828,2.735529741,1.560043276,2.019579077,2.731474115,1.5532839,1.687006638,2.530509956,4.217516594,10,20,2,0
2.022120938,2.733691686,1.559717466,2.019810187,2.73022556,1.553940589,1.689317388,2.533976083,4.223293471,10,20,2,0
2.021982119,2.732120206,1.55943903,2.020007381,2.7291581,1.554502187,1.691292126,2.536938188,4.228230314,10,20,2,0
2.021863168,2.730776823,1.559201093,2.02017568,2.728245591,1.554982373,1.692979614,2.53946942,4.232449034,10,20,2,0
2.021761284,2.729628539,1.558997784,2.020319331,2.72746561,1.555392902,1.694421566,2.54163235,4.236053916,10,20,2,0
2.021674046,2.728647093,1.55882408,2.020441953,2.726798953,1.555743847,1.69565366,2.543480489,4.239134149,10,20,2,0
2.021599369,2.727808298,1.558675681,2.02054663,2.726229189,1.556043834,1.696706398,2.545059598,4.241765996,10,20,2,0
2.02153546,2.727091459,1.558548911,2.020635994,2.72574226,1.556300246,1.697605864,2.546408796,4.244014661,10,20,2,0
2.021480778,2.726478875,1.558440624,2.020712288,2.725326141,1.5565194,1.698374354,2.547561531,4.245935884,10,20,2,0
2.021433999,2.725955406,1.558348128,2.020777427,2.724970549,1.5567067,1.699030925,2.548546388,4.247577313,10,20,2,0
2.021393987,2.725508105,1.558269124,2.020833044,2.724666691,1.556866767,1.699591868,2.549387802,4.24897967,10,20,2,0
2.021359768,2.725125903,1.558201646,2.020880533,2.72440705,1.557003557,1.700071103,2.550106655,4.250177758,10,20,2,0
2.021330508,2.724799334,1.558144012,2.020921083,2.724185196,1.557120449,1.700480528,2.550720792,4.251201321,10,20,2,0
2.02130549,2.724520307,1.558094786,2.02095571,2.723995636,1.557220334,1.700830309,2.551245463,4.252075772,10,20,2,0
2.021284102,2.724281908,1.558052743,2.020985279,2.723833673,1.557305685,1.701129132,2.551693698,4.25282283,10,20,2,0
2.021265819,2.724078223,1.558016833,2.021010531,2.723695291,1.557378613,1.70138442,2.55207663,4.25346105,10,20,2,0
2.02125019,2.723904201,1.557986161,2.021032096,2.723577059,1.557440926,1.701602514,2.552403771,4.254006285,10,20,2,0
2.021236833,2.723755524,1.557959964,2.021050514,2.723476045,1.557494167,1.701788833,2.552683249,4.254472082,10,20,2,0
2.021225416,2.723628502,1.557937588,2.021066244,2.723389743,1.557539657,1.701948005,2.552922008,4.254870013,10,20,2,0
2.02121566,2.723519982,1.557918475,2.021079679,2.72331601,1.557578522,1.702083986,2.553125979,4.255209965,10,20,2,0
2.021207322,2.72342727,1.557902149,2.021091154,2.723253017,1.557611728,1.702200155,2.553300232,4.255500386,10,20,2,0
2.021200198,2.723348063,1.557888204,2.021100956,2.7231992,1.557640098,1.702299397,2.553449095,4.255748492,10,20,2,0
